nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles
nm0000001,Fred Astaire,1899,1987,"soundtrack,actor,miscellaneous","tt0031983,tt0050419,tt0072308,tt0053137"
nm0000002,Lauren Bacall,1924,2014,"actress,soundtrack","tt0037382,tt0117057,tt0038355,tt0075213"
nm0000003,Brigitte Bardot,1934,\N,"actress,soundtrack,music_department","tt0049189,tt0054452,tt0056404,tt0057345"
nm0000004,John Belushi,1949,1982,"actor,soundtrack,writer","tt0078723,tt0080455,tt0072562,tt0077975"
nm0000005,Ingmar Bergman,1918,2007,"writer,director,actor","tt0050976,tt0050986,tt0069467,tt0083922"
nm0000006,Ingrid Bergman,1915,1982,"actress,soundtrack,producer","tt0036855,tt0038109,tt0034583,tt0038787"
nm0000007,Humphrey Bogart,1899,1957,"actor,soundtrack,producer","tt0037382,tt0043265,tt0042593,tt0034583"
nm0000008,Marlon Brando,1924,2004,"actor,soundtrack,director","tt0068646,tt0047296,tt0078788,tt0070849"
nm0000009,Richard Burton,1925,1984,"actor,soundtrack,producer","tt0061184,tt0057877,tt0059749,tt0087803"
nm0000010,James Cagney,1899,1986,"actor,soundtrack,director","tt0031867,tt0029870,tt0042041,tt0035575"
nm0000011,Gary Cooper,1901,1961,"actor,soundtrack,stunts","tt0044706,tt0035896,tt0027996,tt0034167"
nm0000012,Bette Davis,1908,1989,"actress,soundtrack,make_up_department","tt0056687,tt0031210,tt0042192,tt0035140"
nm0000013,Doris Day,1922,2019,"soundtrack,actress,producer","tt0049470,tt0053172,tt0045591,tt0048317"
nm0000014,Olivia de Havilland,1916,2020,"actress,soundtrack","tt0041452,tt0029843,tt0040806,tt0031381"
nm0000015,James Dean,1931,1955,"actor,miscellaneous","tt0049261,tt0048545,tt0048028,tt0043228"
nm0000016,Georges Delerue,1925,1992,"composer,soundtrack,music_department","tt0091763,tt8847712,tt0096320,tt0069946"
nm0000017,Marlene Dietrich,1901,1992,"soundtrack,actress,music_department","tt0021156,tt0051201,tt0052311,tt0055031"
nm0000018,Kirk Douglas,1916,2020,"actor,producer,soundtrack","tt0080736,tt0054331,tt0050825,tt0049456"
nm0000019,Federico Fellini,1920,1993,"writer,director,actor","tt0053779,tt0056801,tt0050783,tt0071129"
nm0000020,Henry Fonda,1905,1982,"actor,producer,soundtrack","tt0050083,tt0032551,tt0051207,tt0082846"
nm0000021,Joan Fontaine,1917,2013,"actress,soundtrack,producer","tt0035751,tt0034248,tt0032976,tt0036969"
nm0000022,Clark Gable,1901,1960,"actor,soundtrack,producer","tt0026752,tt0025316,tt0023382,tt0031381"
nm0000023,Judy Garland,1922,1969,"soundtrack,actress","tt0032138,tt0037059,tt0047522,tt0055031"
nm0000024,John Gielgud,1904,2000,"actor,writer,director","tt0045943,tt0071877,tt0082031,tt0117631"
nm0000025,Jerry Goldsmith,1929,2004,"music_department,soundtrack,composer","tt0077269,tt0112715,tt0117731,tt0119488"
nm0000026,Cary Grant,1904,1986,"actor,soundtrack,producer","tt0034248,tt0053125,tt0056923,tt0048728"
nm0000027,Alec Guinness,1914,2000,"actor,soundtrack,writer","tt0076759,tt0051739,tt0041546,tt0050212"
