nconst,primaryName,primaryProfession,tconst
nm0000090,Armin Mueller-Stahl,director,tt0963178
nm0000090,Armin Mueller-Stahl,director,tt0765443
nm0000090,Armin Mueller-Stahl,director,tt0117631
nm0000090,Armin Mueller-Stahl,director,tt0139809
nm0000095,Woody Allen,director,tt0118954
nm0000095,Woody Allen,director,tt0091167
nm0000097,Pamela Anderson,director,tt0426592
nm0000097,Pamela Anderson,director,tt0306047
nm0000097,Pamela Anderson,director,tt0115624
nm0000099,Patricia Arquette,director,tt1065073
nm0000099,Patricia Arquette,director,tt0108399
nm0000099,Patricia Arquette,director,tt0145531
nm0000108,Luc Besson,director,tt0119116
nm0000108,Luc Besson,director,tt0100263
nm0000108,Luc Besson,director,tt0110413
nm0000110,Kenneth Branagh,director,tt3402236
nm0000110,Kenneth Branagh,director,tt0107616
nm0000110,Kenneth Branagh,director,tt0097499
nm0000111,Matthew Broderick,director,tt0086567
nm0000111,Matthew Broderick,director,tt0091042
nm0000111,Matthew Broderick,director,tt0115798
nm0000111,Matthew Broderick,director,tt0395251
nm0000114,Steve Buscemi,director,tt0116282
nm0000114,Steve Buscemi,director,tt0162346
nm0000114,Steve Buscemi,director,tt4686844
nm0000114,Steve Buscemi,director,tt0105236
nm0000116,James Cameron,director,tt0120338
nm0000116,James Cameron,director,tt0499549
nm0000116,James Cameron,director,tt0090605
nm0000123,George Clooney,director,tt0465538
nm0000123,George Clooney,director,tt1124035
nm0000123,George Clooney,director,tt0433383
nm0000127,Wes Craven,director,tt0087800
nm0000127,Wes Craven,director,tt0105121
nm0000127,Wes Craven,director,tt0111686
nm0000130,Jamie Lee Curtis,director,tt0111503
nm0000130,Jamie Lee Curtis,director,tt0120694
nm0000141,David Duchovny,director,tt0251075
nm0000141,David Duchovny,director,tt0120902
nm0000142,Clint Eastwood,director,tt0112579
nm0000142,Clint Eastwood,director,tt0105695
nm0000142,Clint Eastwood,director,tt0405159
nm0000142,Clint Eastwood,director,tt1205489
nm0000146,Ralph Fiennes,director,tt1372686
nm0000146,Ralph Fiennes,director,tt2278388
nm0000146,Ralph Fiennes,director,tt0108052
nm0000146,Ralph Fiennes,director,tt0387131
nm0000149,Jodie Foster,director,tt0102926
nm0000149,Jodie Foster,director,tt0476964
nm0000149,Jodie Foster,director,tt0094608
nm0000154,Mel Gibson,director,tt0104714
nm0000154,Mel Gibson,director,tt0112573
nm0000154,Mel Gibson,director,tt0118883
nm0000166,Helen Hunt,director,tt0119822
nm0000169,Tommy Lee Jones,director,tt0477348
nm0000169,Tommy Lee Jones,director,tt0443272
nm0000169,Tommy Lee Jones,director,tt2398231
nm0000169,Tommy Lee Jones,director,tt0106977
nm0000171,Ashley Judd,director,tt0119468
nm0000171,Ashley Judd,director,tt0150377
nm0000177,Kevin Kline,director,tt0106673
nm0000177,Kevin Kline,director,tt0113117
nm0000177,Kevin Kline,director,tt0120891
nm0000177,Kevin Kline,director,tt0095159
nm0000185,Dolph Lundgren,director,tt0113481
nm0000185,Dolph Lundgren,director,tt0089927
nm0000185,Dolph Lundgren,director,tt0105698
nm0000185,Dolph Lundgren,director,tt0093507
nm0000186,David Lynch,director,tt0105665
nm0000199,Al Pacino,director,tt0099422
nm0000202,Ryan Phillippe,director,tt0280707
nm0000202,Ryan Phillippe,director,tt0120577
nm0000202,Ryan Phillippe,director,tt0139134
nm0000209,Tim Robbins,director,tt0327056
nm0000209,Tim Robbins,director,tt0111161
nm0000209,Tim Robbins,director,tt0105151
nm0000209,Tim Robbins,director,tt0091225
nm0000212,Meg Ryan,director,tt0108160
nm0000212,Meg Ryan,director,tt0098635
nm0000212,Meg Ryan,director,tt0128853
nm0000212,Meg Ryan,director,tt0120632
nm0000216,Arnold Schwarzenegger,director,tt0088247
nm0000216,Arnold Schwarzenegger,director,tt0216216
nm0000216,Arnold Schwarzenegger,director,tt0107362
nm0000216,Arnold Schwarzenegger,director,tt0103064
nm0000217,Martin Scorsese,director,tt0099685
nm0000229,Steven Spielberg,director,tt0120815
nm0000229,Steven Spielberg,director,tt0083866
