nconst,primaryName,primaryProfession,tconst
nm0000090,Armin Mueller-Stahl,writer,tt0963178
nm0000090,Armin Mueller-Stahl,writer,tt0765443
nm0000090,Armin Mueller-Stahl,writer,tt0117631
nm0000090,Armin Mueller-Stahl,writer,tt0139809
nm0000092,John Cleese,writer,tt0095159
nm0000092,John Cleese,writer,tt0085959
nm0000094,J. Reifel,writer,tt0117915
nm0000095,Woody Allen,writer,tt0118954
nm0000095,Woody Allen,writer,tt0091167
nm0000100,Rowan Atkinson,writer,tt1634122
nm0000100,Rowan Atkinson,writer,tt0274166
nm0000100,Rowan Atkinson,writer,tt0118689
nm0000100,Rowan Atkinson,writer,tt0110357
nm0000101,Dan Aykroyd,writer,tt0080455
nm0000101,Dan Aykroyd,writer,tt0087332
nm0000101,Dan Aykroyd,writer,tt0102558
nm0000101,Dan Aykroyd,writer,tt0118747
nm0000108,Luc Besson,writer,tt0119116
nm0000108,Luc Besson,writer,tt0100263
nm0000108,Luc Besson,writer,tt0110413
nm0000116,James Cameron,writer,tt0120338
nm0000116,James Cameron,writer,tt0499549
nm0000116,James Cameron,writer,tt0090605
nm0000118,John Carpenter,writer,tt0082340
nm0000118,John Carpenter,writer,tt0080749
nm0000120,Jim Carrey,writer,tt0315327
nm0000120,Jim Carrey,writer,tt0109040
nm0000120,Jim Carrey,writer,tt0338013
nm0000120,Jim Carrey,writer,tt0110475
nm0000127,Wes Craven,writer,tt0087800
nm0000127,Wes Craven,writer,tt0105121
nm0000127,Wes Craven,writer,tt0111686
nm0000131,John Cusack,writer,tt0098258
nm0000131,John Cusack,writer,tt0450385
nm0000131,John Cusack,writer,tt0119229
nm0000148,Harrison Ford,writer,tt0090329
nm0000148,Harrison Ford,writer,tt0106977
nm0000155,Whoopi Goldberg,writer,tt0105417
nm0000155,Whoopi Goldberg,writer,tt0088939
nm0000155,Whoopi Goldberg,writer,tt0099653
nm0000155,Whoopi Goldberg,writer,tt0108147
nm0000159,Teri Hatcher,writer,tt0327597
nm0000159,Teri Hatcher,writer,tt0227538
nm0000159,Teri Hatcher,writer,tt0120347
nm0000160,Ethan Hawke,writer,tt2209418
nm0000160,Ethan Hawke,writer,tt0381681
nm0000160,Ethan Hawke,writer,tt0139654
nm0000160,Ethan Hawke,writer,tt0112471
nm0000162,Anne Heche,writer,tt0120885
nm0000162,Anne Heche,writer,tt0120828
nm0000162,Anne Heche,writer,tt0119008
nm0000162,Anne Heche,writer,tt0120461
nm0000165,Ron Howard,writer,tt0268978
nm0000165,Ron Howard,writer,tt0112384
nm0000175,Stephen King,writer,tt0091499
nm0000175,Stephen King,writer,tt0083767
nm0000175,Stephen King,writer,tt0111161
nm0000186,David Lynch,writer,tt0105665
nm0000188,Steve Martin,writer,tt0093886
nm0000188,Steve Martin,writer,tt0102250
nm0000188,Steve Martin,writer,tt0383216
nm0000189,Jenny McCarthy-Wahlberg,writer,tt0134084
nm0000189,Jenny McCarthy-Wahlberg,writer,tt0455967
nm0000189,Jenny McCarthy-Wahlberg,writer,tt0131857
nm0000191,Ewan McGregor,writer,tt0203009
nm0000191,Ewan McGregor,writer,tt2763304
