tconst,directors,writers
tt0000001,nm0005690,
tt0000002,nm0721526,
tt0000003,nm0721526,
tt0000004,nm0721526,
tt0000005,nm0005690,
tt0000006,nm0005690,
tt0000007,"nm0005690,nm0374658",
tt0000008,nm0005690,
tt0000009,nm0085156,nm0085156
tt0000010,nm0525910,
tt0000011,nm0804434,
tt0000012,"nm0525908,nm0525910",
tt0000013,nm0525910,
tt0000014,nm0525910,
tt0000015,nm0721526,
tt0000016,nm0525910,
tt0000017,"nm0804434,nm1587194",
tt0000018,nm0804434,
tt0000019,nm0932055,
tt0000020,nm0010291,
tt0000022,nm0525910,
tt0000023,nm0525910,
tt0000024,nm0010291,
tt0000025,nm0010291,
tt0000026,nm0525910,
tt0000027,nm0525910,
tt0000028,nm0525910,
tt0000029,nm0525910,
tt0000030,"nm0010291,nm0666972",
tt0000031,nm0525910,
tt0000032,nm0804434,
tt0000033,nm0525910,
tt0000034,nm0617588,
tt0000035,nm0617588,
tt0000036,nm0005690,nm0410331
tt0000037,nm0617588,
tt0000038,nm0374658,
tt0000039,,
tt0000040,nm0617588,
tt0000041,nm0525910,
tt0000042,nm0617588,
tt0000043,nm0617588,
tt0000044,nm0617588,
tt0000045,nm0617588,
tt0000046,nm0617588,
tt0000047,nm0617588,
tt0000048,nm0010291,
tt0000049,nm0010291,
tt0000050,nm0617588,
tt0000051,nm0617588,
tt0000052,nm0895515,
tt0000053,nm0684607,
tt0000054,nm0617588,
tt0000055,nm0617588,
tt0000056,nm0795060,
tt0000057,nm0617588,
tt0000058,nm0617588,
tt0000059,nm0617588,
tt0000060,nm0005690,
tt0000061,nm0010291,
tt0000062,nm0617588,
tt0000063,nm0617588,
tt0000064,nm0617588,
tt0000065,nm0617588,
tt0000066,nm0617588,
tt0000067,nm0617588,
tt0000068,nm0617588,
tt0000069,nm0617588,
tt0000070,nm0525910,
tt0000071,nm0617588,
tt0000072,nm0617588,
tt0000073,nm0617588,
tt0000074,nm0617588,
tt0000075,nm0617588,
tt0000076,nm0005690,nm0410331
tt0000077,nm0617588,
tt0000078,nm0234288,
tt0000079,nm0617588,
tt0000080,nm0617588,
tt0000081,nm0617588,
tt0000082,nm0005690,
tt0000083,nm0617588,
tt0000084,nm0617588,
tt0000085,nm0617588,
tt0000086,nm0617588,
tt0000087,nm0617588,
tt0000088,nm0617588,
tt0000089,"nm0525908,nm0698645",
tt0000090,nm0617588,
tt0000091,nm0617588,nm0617588
tt0000092,nm0617588,
tt0000093,"nm0525910,nm0525908",
tt0000094,nm0617588,
tt0000095,nm0617588,
tt0000096,nm0617588,
tt0000097,nm0617588,
tt0000098,nm0617588,
tt0000099,nm0617588,
tt0000100,nm0617588,
tt0000101,nm0617588,
tt0000102,nm0617588,
tt0000103,nm0617588,
tt0000104,,
tt0000105,nm0617588,
tt0000106,nm0617588,
tt0000107,nm0617588,
tt0000108,nm0005690,nm0410331
tt0000109,nm0005690,nm0410331
tt0000110,nm0005690,nm0410331
tt0000111,nm0005690,nm0410331
tt0000112,nm0005690,nm0410331
tt0000113,nm0005690,nm0410331
tt0000114,nm0617588,
tt0000115,nm0617588,
tt0000116,nm0617588,
tt0000117,nm0234288,
tt0000118,nm0617588,
tt0000119,nm0617588,
tt0000120,nm0617588,
tt0000121,nm0609678,
tt0000122,nm0617588,
tt0000123,nm0617588,
tt0000124,nm0617588,
tt0000125,,
tt0000126,nm0617588,
tt0000127,nm0617588,
tt0000128,nm0617588,
tt0000129,nm0617588,
tt0000130,nm0617588,
tt0000131,nm0617588,
tt0000132,nm0617588,nm0617588
tt0000133,nm0617588,
tt0000134,,
tt0000135,nm0005690,
tt0000137,nm0349785,
tt0000138,nm0617588,nm0617588
tt0000139,nm0349785,
tt0000140,nm0349785,
tt0000141,nm0349785,
tt0000142,nm0924920,
tt0000143,nm0349785,
tt0000144,nm0349785,
tt0000145,nm0349785,
tt0000146,nm0349785,
tt0000147,nm0714557,
tt0000148,nm0349785,
tt0000149,nm0617588,
tt0000150,nm0349785,
tt0000151,nm0617588,
tt0000152,nm0617588,
tt0000153,nm0808310,
tt0000154,nm0010291,
tt0000155,nm0617588,
tt0000156,nm0617588,
tt0000157,nm0349785,
tt0000158,nm0349785,
tt0000159,nm0617588,
tt0000160,nm0095816,
tt0000161,nm0349785,
tt0000162,nm0698645,
tt0000163,nm0349785,
tt0000164,nm0349785,
tt0000165,nm0005717,nm0005717
tt0000166,nm0005717,
tt0000167,nm0422809,
tt0000168,nm0005717,
tt0000169,nm0698645,
tt0000170,nm0666972,
tt0000171,nm0349785,
tt0000172,nm0808310,
tt0000173,nm0085865,
tt0000174,nm0471818,nm0841389
tt0000175,nm0795060,
tt0000176,,
tt0000177,nm0085865,
tt0000178,nm0692105,
tt0000179,nm0617588,
tt0000180,nm0349785,
tt0000181,nm0808310,nm0674518
tt0000182,nm0666972,
tt0000183,nm0808310,nm0241416
tt0000184,nm0924920,
tt0000185,nm0349785,
tt0000186,nm0617588,
tt0000187,nm0349785,
tt0000188,nm0666972,
tt0000189,nm0005717,nm0005717
tt0000190,nm0471818,nm0841389
tt0000191,nm0349785,
tt0000192,nm0924920,nm0238900
tt0000193,nm0349785,
tt0000194,nm0378408,
tt0000195,nm0349785,
tt0000196,nm0808310,nm0324473
tt0000197,nm0349785,
tt0000198,nm0349785,
tt0000199,,
tt0000200,,
tt0000201,nm0005690,
tt0000202,nm0349785,
tt0000203,nm0349785,
tt0000204,nm0349785,
tt0000205,nm0349785,
tt0000206,nm0005717,
tt0000207,,
tt0000208,nm0808310,
tt0000209,nm0808310,
tt0000210,nm0617588,
tt0000211,nm0617588,nm0617588
tt0000212,nm0795060,
tt0000213,nm0349785,
tt0000214,nm0085865,
tt0000215,nm0471818,nm0841389
tt0000216,nm0005717,
tt0000217,nm0808310,
tt0000218,nm0617588,nm0617588
tt0000219,nm0808310,
tt0000220,,
tt0000221,nm0182052,
tt0000222,nm0349785,
tt0000223,nm0349785,
tt0000224,,
tt0000225,,nm0207305
tt0000226,,
tt0000227,nm4427898,
tt0000228,nm0349785,
tt0000229,,nm0857203
tt0000230,nm0617588,nm0674518
tt0000231,nm0795060,
tt0000232,nm0349785,
tt0000233,nm0005717,nm0005717
tt0000234,nm0617588,
tt0000235,nm0617588,nm0353584
tt0000236,nm0349785,
tt0000237,nm0349785,
tt0000238,nm0349785,
tt0000239,nm0349785,
tt0000240,,
tt0000241,nm0349785,
tt0000242,nm0617588,nm0617588
tt0000243,nm0349785,
tt0000244,nm0349785,
tt0000245,,
tt0000246,nm0617588,
tt0000247,"nm2156608,nm0005690,nm0002504","nm0000636,nm0002504"
tt0000248,nm0808310,
tt0000249,nm0808310,
tt0000250,nm0005717,
tt0000251,nm0177862,
tt0000252,nm0349785,
tt0000253,nm0095816,
tt0000254,nm0349785,
