MovieID,budget,company,companyID,country,director,genre,gross,Movie,rating,Released Date,runtime,score,Actor,votes,writer,year
The Dark Knight RisesChristian Bale2012,250000000,Warner Bros.,Warner Bros.UK,UK,Christopher Nolan,Action,448139099,The Dark Knight Rises,PG-13,7/20/2012,164,8.4,Christian Bale,1253772,Jonathan Nolan,2012
Django UnchainedJamie Foxx2012,100000000,The Weinstein Company,The Weinstein CompanyUSA,USA,Quentin Tarantino,Drama,162805434,Django Unchained,R,12/25/2012,165,8.4,Jamie Foxx,1070691,Quentin Tarantino,2012
The Hunger GamesJennifer Lawrence2012,78000000,Lionsgate,LionsgateUSA,USA,Gary Ross,Adventure,408010692,The Hunger Games,PG-13,3/23/2012,142,7.2,Jennifer Lawrence,748581,Gary Ross,2012
The AvengersRobert Downey Jr.2012,220000000,Marvel Studios,Marvel StudiosUSA,USA,Joss Whedon,Action,623357910,The Avengers,PG-13,5/4/2012,143,8.1,Robert Downey Jr.,1064633,Joss Whedon,2012
PrometheusNoomi Rapace2012,130000000,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film CorporationUSA,USA,Ridley Scott,Adventure,126477084,Prometheus,R,6/8/2012,124,7,Noomi Rapace,503113,Jon Spaihts,2012
The Hobbit: An Unexpected JourneyMartin Freeman2012,180000000,New Line Cinema,New Line CinemaUSA,USA,Peter Jackson,Adventure,303003568,The Hobbit: An Unexpected Journey,PG-13,12/14/2012,169,7.9,Martin Freeman,680250,Fran Walsh,2012
Pitch PerfectAnna Kendrick2012,17000000,Brownstone Productions (II),Brownstone Productions (II)USA,USA,Jason Moore,Comedy,65001093,Pitch Perfect,PG-13,10/5/2012,112,7.2,Anna Kendrick,231932,Kay Cannon,2012
Jack ReacherTom Cruise2012,60000000,Paramount Pictures,Paramount PicturesUSA,USA,Christopher McQuarrie,Action,80070736,Jack Reacher,PG-13,12/21/2012,130,7,Tom Cruise,257474,Lee Child,2012
The Perks of Being a WallflowerLogan Lerman2012,13000000,Summit Entertainment,Summit EntertainmentUSA,USA,Stephen Chbosky,Drama,17738570,The Perks of Being a Wallflower,PG-13,10/12/2012,102,8,Logan Lerman,386932,Stephen Chbosky,2012
Cloud AtlasTom Hanks2012,102000000,Cloud Atlas Productions,Cloud Atlas ProductionsGermany,Germany,Tom Tykwer,Action,27108272,Cloud Atlas,R,10/26/2012,172,7.5,Tom Hanks,305013,David Mitchell,2012
The Twilight Saga: Breaking Dawn - Part 2Kristen Stewart2012,120000000,Summit Entertainment,Summit EntertainmentUSA,USA,Bill Condon,Adventure,292298923,The Twilight Saga: Breaking Dawn - Part 2,PG-13,11/16/2012,115,5.5,Kristen Stewart,197849,Melissa Rosenberg,2012
The Cabin in the WoodsKristen Connolly2012,30000000,Lionsgate,LionsgateUSA,USA,Drew Goddard,Horror,42073277,The Cabin in the Woods,R,4/13/2012,95,7,Kristen Connolly,304144,Joss Whedon,2012
Les MisérablesHugh Jackman2012,61000000,Working Title Films,Working Title FilmsUK,UK,Tom Hooper,Drama,148809770,Les Misérables,PG-13,12/25/2012,158,7.6,Hugh Jackman,262187,William Nicholson,2012
Moonrise KingdomJared Gilman2012,16000000,Indian Paintbrush,Indian PaintbrushUSA,USA,Wes Anderson,Adventure,45512466,Moonrise Kingdom,PG-13,6/29/2012,94,7.8,Jared Gilman,261362,Wes Anderson,2012
SkyfallDaniel Craig2012,200000000,Eon Productions,Eon ProductionsUK,UK,Sam Mendes,Action,304360277,Skyfall,PG-13,11/9/2012,143,7.8,Daniel Craig,556275,Ian Fleming,2012
21 Jump StreetJonah Hill2012,42000000,Columbia Pictures,Columbia PicturesUSA,USA,Phil Lord,Action,138447667,21 Jump Street,R,3/16/2012,110,7.2,Jonah Hill,441919,Michael Bacall,2012
