tconst,titleType,primaryTitle,startYear,averageRating,genres
tt0078356,movie,Tusk,1980,4.8,Drama
tt0078868,movie,Confidence,1980,7.5,Drama
tt0079579,movie,Moscow Does Not Believe in Tears,1980,8.0,"Comedy,Drama,Romance"
tt0079820,movie,The King and the Mockingbird,1980,7.7,"Animation,Family,Fantasy"
tt0080041,movie,All Stars,1980,6.3,"Comedy,Musical,Romance"
tt0080310,movie,Breaker Morant,1980,7.8,"Drama,History,War"
tt0080319,movie,9 to 5,1980,6.9,Comedy
tt0080339,movie,Airplane!,1980,7.7,Comedy
tt0080360,movie,Altered States,1980,6.9,"Horror,Sci-Fi,Thriller"
tt0080365,movie,American Gigolo,1980,6.3,"Crime,Drama,Mystery"
tt0080377,movie,Any Which Way You Can,1980,6.1,"Action,Comedy"
tt0080401,movie,The Warning,1980,6.4,"Crime,Drama"
tt0080402,movie,The Awakening,1980,4.8,Horror
tt0080403,movie,Aziza,1980,6.7,Drama
tt0080406,movie,Babylon,1980,7.3,Drama
tt0080446,movie,Blood Money,1980,6.0,"Crime,Drama"
tt0080453,movie,The Blue Lagoon,1980,5.8,"Adventure,Drama,Romance"
tt0080455,movie,The Blues Brothers,1980,7.9,"Action,Adventure,Comedy"
tt0080461,movie,"Bon Voyage, Charlie Brown (and Don't Come Back!!)",1980,7.1,"Adventure,Animation,Comedy"
tt0080464,movie,The Boogey Man,1980,4.7,Horror
tt0080472,movie,Bronco Billy,1980,6.1,"Action,Adventure,Comedy"
tt0080474,movie,Brubaker,1980,7.1,"Crime,Drama"
tt0080487,movie,Caddyshack,1980,7.2,"Comedy,Sport"
tt0080489,movie,La Cage aux Folles II,1980,5.8,Comedy
tt0080492,movie,Can't Stop the Music,1980,4.2,"Biography,Comedy,Musical"
tt0080520,movie,Cheech and Chong's Next Movie,1980,6.0,"Comedy,Crime,Sci-Fi"
tt0080539,movie,City of Women,1980,6.9,"Comedy,Drama,Fantasy"
